"model","iteration","corr_iter","MAF","gen"
"BB",1,0.226531792983617,0.005,"F2"
"BB",2,0.226863399560996,0.005,"F2"
"BB",3,0.233540924239677,0.005,"F2"
"BB",4,0.223855916652553,0.005,"F2"
"BB",5,0.230007604266017,0.005,"F2"
"BB",6,0.222564168299044,0.005,"F2"
"BB",7,0.222346280041798,0.005,"F2"
"BB",8,0.228326785744439,0.005,"F2"
"BB",9,0.227579899989942,0.005,"F2"
"BB",10,0.226678964513899,0.005,"F2"
"BRR",1,0.239433517560622,0.005,"F2"
"BRR",2,0.239782244418827,0.005,"F2"
"BRR",3,0.239693753011224,0.005,"F2"
"BRR",4,0.240227284493251,0.005,"F2"
"BRR",5,0.238858578706133,0.005,"F2"
"BRR",6,0.239460738972952,0.005,"F2"
"BRR",7,0.240421696123922,0.005,"F2"
"BRR",8,0.239281703127164,0.005,"F2"
"BRR",9,0.240652227481822,0.005,"F2"
"BRR",10,0.241522121691096,0.005,"F2"
"EGBLUP",1,0.24938859484996,0.005,"F2"
"EGBLUP",2,0.246220659890899,0.005,"F2"
"EGBLUP",3,0.243798049473669,0.005,"F2"
"EGBLUP",4,0.240966180074087,0.005,"F2"
"EGBLUP",5,0.2439793990755,0.005,"F2"
"EGBLUP",6,0.24393601568933,0.005,"F2"
"EGBLUP",7,0.242135299327992,0.005,"F2"
"EGBLUP",8,0.245495156727739,0.005,"F2"
"EGBLUP",9,0.242878026396295,0.005,"F2"
"EGBLUP",10,0.241118458109442,0.005,"F2"
"GB",1,0.296109848875047,0.005,"F2"
"GB",2,0.277319691824769,0.005,"F2"
"GB",3,0.292376978679025,0.005,"F2"
"GB",4,0.324394041697924,0.005,"F2"
"GB",5,0.286528853455957,0.005,"F2"
"GB",6,0.30035754817242,0.005,"F2"
"GB",7,0.268069980946558,0.005,"F2"
"GB",8,0.294585930249689,0.005,"F2"
"GB",9,0.302787726484687,0.005,"F2"
"GB",10,0.271186042966672,0.005,"F2"
"GBLUP",1,0.233864803785731,0.005,"F2"
"GBLUP",2,0.233864803785731,0.005,"F2"
"GBLUP",3,0.233864803785731,0.005,"F2"
"GBLUP",4,0.233864803785731,0.005,"F2"
"GBLUP",5,0.233864803785731,0.005,"F2"
"GBLUP",6,0.233864803785731,0.005,"F2"
"GBLUP",7,0.233864803785731,0.005,"F2"
"GBLUP",8,0.233864803785731,0.005,"F2"
"GBLUP",9,0.233864803785731,0.005,"F2"
"GBLUP",10,0.233864803785731,0.005,"F2"
"LASSO",1,0.24252883789318,0.005,"F2"
"LASSO",2,0.241276736206968,0.005,"F2"
"LASSO",3,0.240597507403923,0.005,"F2"
"LASSO",4,0.241124275996878,0.005,"F2"
"LASSO",5,0.241314784491009,0.005,"F2"
"LASSO",6,0.242423356445071,0.005,"F2"
"LASSO",7,0.238912909765457,0.005,"F2"
"LASSO",8,0.241932102138262,0.005,"F2"
"LASSO",9,0.238753932447269,0.005,"F2"
"LASSO",10,0.239903158705062,0.005,"F2"
"LR",1,0.255099155078255,0.005,"F2"
"LR",2,0.242281331867982,0.005,"F2"
"LR",3,0.25745749275481,0.005,"F2"
"LR",4,0.292390156433544,0.005,"F2"
"LR",5,0.237373255441693,0.005,"F2"
"LR",6,0.281103061041199,0.005,"F2"
"LR",7,0.255182562992435,0.005,"F2"
"LR",8,0.281939852865524,0.005,"F2"
