"model","iteration","corr_iter","MAF","gen"
"BB",1,0.370952536973632,0.005,"all"
"BB",2,0.371103773787716,0.005,"all"
"BB",3,0.369044710301552,0.005,"all"
"BB",4,0.370282969614837,0.005,"all"
"BB",5,0.373627322351781,0.005,"all"
"BB",6,0.372107871241547,0.005,"all"
"BB",7,0.374757704591767,0.005,"all"
"BB",8,0.370286739318259,0.005,"all"
"BB",9,0.371050083733884,0.005,"all"
"BB",10,0.371365240088295,0.005,"all"
"BRR",1,0.253700232608541,0.005,"all"
"BRR",2,0.256329265686127,0.005,"all"
"BRR",3,0.254617342491381,0.005,"all"
"BRR",4,0.25473494369058,0.005,"all"
"BRR",5,0.254463909448353,0.005,"all"
"BRR",6,0.253972130718604,0.005,"all"
"BRR",7,0.254731082232938,0.005,"all"
"BRR",8,0.253984488236809,0.005,"all"
"BRR",9,0.253921905015075,0.005,"all"
"BRR",10,0.253328900938649,0.005,"all"
"EGBLUP",1,0.252226332386502,0.005,"all"
"EGBLUP",2,0.251620212143948,0.005,"all"
"EGBLUP",3,0.251967109340397,0.005,"all"
"EGBLUP",4,0.250891864451932,0.005,"all"
"EGBLUP",5,0.250977519438302,0.005,"all"
"EGBLUP",6,0.252943972629279,0.005,"all"
"EGBLUP",7,0.25120332724834,0.005,"all"
"EGBLUP",8,0.250137225438328,0.005,"all"
"EGBLUP",9,0.246125069776299,0.005,"all"
"EGBLUP",10,0.250677256419836,0.005,"all"
"GB",1,0.413781324021722,0.005,"all"
"GB",2,0.402743471897065,0.005,"all"
"GB",3,0.40952076603416,0.005,"all"
"GB",4,0.406264827303281,0.005,"all"
"GB",5,0.411957469118763,0.005,"all"
"GB",6,0.411885585447989,0.005,"all"
"GB",7,0.414350623419245,0.005,"all"
"GB",8,0.413268402458527,0.005,"all"
"GB",9,0.407759297122944,0.005,"all"
"GB",10,0.412565818681909,0.005,"all"
"GBLUP",1,0.248581897925349,0.005,"all"
"GBLUP",2,0.248581897925349,0.005,"all"
"GBLUP",3,0.248581897925349,0.005,"all"
"GBLUP",4,0.248581897925349,0.005,"all"
"GBLUP",5,0.248581897925349,0.005,"all"
"GBLUP",6,0.248581897925349,0.005,"all"
"GBLUP",7,0.248581897925349,0.005,"all"
"GBLUP",8,0.248581897925349,0.005,"all"
"GBLUP",9,0.248581897925349,0.005,"all"
"GBLUP",10,0.248581897925349,0.005,"all"
"LASSO",1,0.259639182667722,0.005,"all"
"LASSO",2,0.259067222121255,0.005,"all"
"LASSO",3,0.258909293980117,0.005,"all"
"LASSO",4,0.260521440845817,0.005,"all"
"LASSO",5,0.256389609998167,0.005,"all"
"LASSO",6,0.258791446928086,0.005,"all"
"LASSO",7,0.258564058346178,0.005,"all"
"LASSO",8,0.260876275585252,0.005,"all"
"LASSO",9,0.256008084157926,0.005,"all"
"LASSO",10,0.262041742225701,0.005,"all"
"LR",1,0.380947577804813,0.005,"all"
"LR",2,0.380631225762264,0.005,"all"
"LR",3,0.383417236022108,0.005,"all"
"LR",4,0.378667673068879,0.005,"all"
"LR",5,0.387496546633121,0.005,"all"
"LR",6,0.385022313790888,0.005,"all"
"LR",7,0.386100551734334,0.005,"all"
"LR",8,0.390022958693178,0.005,"all"
"LR",9,0.377586635925572,0.005,"all"
"LR",10,0.390605305286804,0.005,"all"
"RF",1,0.300866001977791,0.005,"all"
"RF",2,0.305560722657921,0.005,"all"
"RF",3,0.297365149269068,0.005,"all"
"RF",4,0.305438523498344,0.005,"all"
"RF",5,0.301556615602897,0.005,"all"
"RF",6,0.298336288257303,0.005,"all"
"RF",7,0.302292195294317,0.005,"all"
"RF",8,0.302140169176633,0.005,"all"
"RF",9,0.303521058733574,0.005,"all"
"RF",10,0.29636524008737,0.005,"all"
"RKHS",1,0.271432652867842,0.005,"all"
"RKHS",2,0.271534312079315,0.005,"all"
"RKHS",3,0.273880194353562,0.005,"all"
"RKHS",4,0.269851100087503,0.005,"all"
"RKHS",5,0.272365615405821,0.005,"all"
"RKHS",6,0.273327404766739,0.005,"all"
