"ID","Status","LR","LR_SD","RF","RF_SD","GB","GB_SD","GBLUP","GBLUP_SD","LASSO","LASSO_SD","RKHS","RKHS_SD","EGBLUP","EGBLUP_SD","BRR","BRR_SD","BayesB","BayesB_SD","MAF"
"B-1",1,0.408943180803267,0.0174534537716951,0.520644086863579,0.00619723446935147,0.496086937189102,0.0303549470909637,0.476,0,0.4775,0.00854075198354596,0.4801,0.0103220368360341,0.475947,0.0118152331523523,0.4808,0.00561347584933891,0.4586,0.0108750478926148,0.05
"B-1000",0,0.310219054637686,0.0181962790846857,0.489984518512699,0.00499024531542965,0.296635717153549,0.0290471112994722,0.353,0,0.3591,0.0904328480144245,0.3604,0.00848789988421427,0.383678,0.106822217393616,0.3534,0.0820056908594357,0.2838,0.102072740947054,0.05
"B-1002",0,0.459469963969941,0.0240799738358599,0.517773656019656,0.00498561058436527,0.456340110301971,0.0304194515214267,0.457,0,0.4582,0.00674619234169255,0.4832,0.00993087217832463,0.466511,0.00840092779267728,0.4621,0.00778103106563933,0.4837,0.0191488322823554,0.05
"B-1003",0,0.519254993361561,0.0203836853537165,0.527155141418747,0.00416798456357205,0.539826411008835,0.0242921161009923,0.465,0,0.5062,0.0063210407019379,0.5091,0.00959687449120807,0.499751,0.0109444460293287,0.5062,0.00646013415753368,0.5627,0.0163438741497303,0.05
"B-1005",0,0.532545890368042,0.0237734946603202,0.524571740676469,0.00591984985471383,0.527853527665138,0.0201105288911774,0.506,0,0.512,0.00914087280053473,0.528,0.00724185366080015,0.505471,0.00885506314677276,0.5135,0.00397911212877111,0.5009,0.014813282328145,0.05
"B-1006",1,0.553152773003722,0.021686794310674,0.529182533488524,0.00355819457728266,0.555598318576813,0.0199259525559841,0.53,0,0.5122,0.00756894238905866,0.5172,0.0113411737585764,0.507001,0.0113385619801533,0.5132,0.00513809303146606,0.4941,0.0354101366529103,0.05
"B-101",1,0.527899750827793,0.0253967172522073,0.527194954956082,0.00540510099682494,0.549016839265823,0.0184990636180698,0.57,0,0.5632,0.00927122190196928,0.5682,0.00780028489508197,0.541371,0.00762341779577172,0.559,0.00648074069840783,0.6196,0.0181793533682826,0.05
"B-1011",0,0.466464091877274,0.0242469210299396,0.523371866091532,0.00389618156455802,0.495710262656212,0.0295022499758244,0.508,0,0.476,0.00728773703635847,0.4863,0.00982117892900622,0.478082,0.00599610947939485,0.4788,0.00617881685905788,0.5087,0.0269610830642985,0.05
"B-1012",1,0.549691484903616,0.0226435613890975,0.523687351093493,0.00293952324017133,0.53018581867218,0.0125468417885185,0.513,0,0.5265,0.00951314879522023,0.5197,0.010122033173012,0.506408,0.00928894659737524,0.5201,0.00321282153600573,0.4946,0.0158268407741055,0.05
"B-1013",0,0.44996170953868,0.0166204157104561,0.524048816891848,0.0043861813309181,0.568064510822296,0.0170207137859556,0.436,0,0.4525,0.00573972511924086,0.4715,0.00904617783007459,0.460684,0.0064757036511701,0.4554,0.00828921655593043,0.5012,0.0244076490742827,0.05
"B-1015",0,0.39553004172379,0.0191782765099101,0.500443223169689,0.00494551562208421,0.310354205965996,0.0313600067611334,0.438,0,0.406,0.0146515073172239,0.3337,0.0318086291576498,0.419801,0.0123837810147879,0.4016,0.00884684501201792,0.4602,0.0183896105934242,0.05
"B-1016",0,0.401882575393412,0.0197661626350336,0.504363937228123,0.00472707081692804,0.337228497862816,0.0320659464667779,0.479,0,0.4538,0.00777174369109019,0.3947,0.0291053641485933,0.470173,0.0103899963105544,0.4588,0.00614274639988771,0.4763,0.0155852494365666,0.05
"B-1017",0,0.378152365757294,0.0220653288321084,0.50512443317982,0.00293623176369189,0.355022025108337,0.0256099710306091,0.459,0,0.4559,0.00973481723848305,0.4543,0.00911713892743892,0.470847,0.00650989341097243,0.454,0.00676592771006149,0.4723,0.0166936448320245,0.05
"B-1019",0,0.485531813935695,0.0219409907581896,0.525067541683224,0.00471994047202725,0.496538624167442,0.0308034616347303,0.489,0,0.4842,0.00686051504383357,0.5037,0.00849901955129728,0.484874,0.0122611411468192,0.4817,0.00531350480693613,0.464,0.0153622914957372,0.05
"B-102",1,0.423069434212608,0.0133696283400072,0.522282359180811,0.00521353476365022,0.545254009962082,0.0168768064963792,0.432,0,0.4243,0.00857710129744699,0.4553,0.0105835301818964,0.432039,0.0104425523167896,0.4239,0.00741544933829967,0.4351,0.0142863571283935,0.05
"B-1021",1,0.494236721878956,0.0232602327060533,0.517781952929474,0.00401566410599883,0.502276250720024,0.0211279671496069,0.468,0,0.456,0.00923760430703402,0.4975,0.00937194394633971,0.46787,0.0114020729109521,0.456,0.00644635986860458,0.5278,0.0192746235011507,0.05
"B-103",0,0.543206734977704,0.022841933885875,0.517717637593816,0.0024108195775686,0.369846624135971,0.0314809128336273,0.54,0,0.5456,0.0124828771612246,0.527,0.0100995049383621,0.523104,0.0088046215137279,0.5434,0.0044522154285504,0.4626,0.030746996239922,0.05
"B-104",1,0.528456184466208,0.0176097107484514,0.524160824142701,0.00359087616544389,0.407995423674583,0.0169753002676722,0.514,0,0.5363,0.0096499856073583,0.5223,0.00745430524372773,0.513655,0.00824442336774786,0.5382,0.00551361950083609,0.5503,0.0134993827019361,0.05
"B-105",1,0.444214067408746,0.0238059116290169,0.526343328730311,0.00511604689284498,0.55919576883316,0.028361502344501,0.524,0,0.4748,0.00590291829898097,0.488,0.00790217972741981,0.474792,0.00608874882239546,0.4771,0.00438304815295373,0.5056,0.00939503414930818,0.05
"B-106",0,0.254234065886444,0.0431039975532343,0.477606082939757,0.00623053906246132,0.255893130600452,0.0184980267367911,0.351,0,0.292,0.0289367125522809,0.1871,0.0276664658627251,0.310322,0.0155034876362994,0.298,0.016746475582774,0.2723,0.0199335005567122,0.05
"B-108",0,0.444248262630381,0.0193995734422194,0.513001517281897,0.00302193511103997,0.402011173963547,0.0276511898745122,0.508,0,0.493,0.00929755045398758,0.4852,0.0106437253294553,0.493767,0.00671795115922837,0.4949,0.00580134084118108,0.4936,0.0175131696477568,0.05
"B-109",0,0.463268524343919,0.0226803251489235,0.520091528932503,0.00356509931871453,0.518575218319893,0.0294048899849758,0.492,0,0.4963,0.00565783625700772,0.4854,0.0115007246148522,0.481799,0.00790396588218007,0.497,0.00416333199893227,0.4427,0.0163030331192968,0.05
"B-11",1,0.502137807747617,0.0268181620561493,0.524998532110958,0.00236917208780181,0.541791719198227,0.0265540563622665,0.512,0,0.5125,0.00883490552046572,0.5076,0.00981155781039213,0.502638,0.00769855657466601,0.5092,0.00480277697448744,0.5278,0.0120995867698034,0.05
"B-111",1,0.574929971581626,0.0192073700827878,0.528630653989581,0.00407086448227781,0.541567498445511,0.0188644936695126,0.534,0,0.543,0.00809663853432742,0.5348,0.0167252304418604,0.51645,0.0138832352937715,0.5423,0.00683211371229855,0.4886,0.0208603824402995,0.05
"B-112",1,0.601126555742987,0.013726612623852,0.525833098262538,0.00455348176335904,0.520292675495148,0.0211160882429562,0.568,0,0.5441,0.00568526360182378,0.5409,0.00604520011616195,0.52935,0.00871673996145093,0.5437,0.00539650092395269,0.5276,0.0215262114125495,0.05
"B-113",1,0.559699406009801,0.02281015154956,0.52912016031518,0.0047708938227154,0.543689656257629,0.0239245834241357,0.564,0,0.567,0.00607362238609618,0.5614,0.00816768701108891,0.548401,0.0145630326893512,0.5643,0.00565783625700769,0.512,0.0132581212009009,0.05
"B-114",1,0.535704843557827,0.0203103963176082,0.522468778738341,0.00340144258850552,0.512847936153412,0.0210865566232902,0.533,0,0.5419,0.0105456678835961,0.5315,0.00857969178415584,0.519628,0.012259436093611,0.5374,0.00503763612995002,0.4887,0.0159377260332555,0.05
"B-116",1,0.566099892525622,0.0177784623496319,0.520930424774408,0.00287500309661458,0.471469846367836,0.0323641508783132,0.534,0,0.551,0.0107909427041591,0.5381,0.00901172076304583,0.533683,0.00808248043610377,0.5489,0.00677331364826537,0.5237,0.0189973682387851,0.05
"B-12",0,0.452354368558685,0.0213925358087357,0.524266176114693,0.00378652576800661,0.534757116436958,0.0241113475868292,0.495,0,0.4617,0.0104141997078775,0.4693,0.00883238988672437,0.470726,0.00971372934447826,0.4631,0.00638487796803248,0.4833,0.0184273347683995,0.05
"B-121",1,0.46045986141839,0.0281371125204749,0.52713555121823,0.00484980879215922,0.556914031505585,0.0260123185558239,0.547,0,0.5181,0.00629726572057712,0.5133,0.00888256719648099,0.515425,0.00726393870813593,0.5169,0.00417532433869913,0.542,0.0148473716342134,0.05
"B-122",0,0.496366799735335,0.0177936885065166,0.529462465400043,0.0023922199425812,0.56397956609726,0.0165609686744808,0.506,0,0.4959,0.00536345659688477,0.503,0.00864098759787716,0.497787,0.00831356595504535,0.4972,0.00399444058105207,0.5108,0.0116218185610801,0.05
"B-123",1,0.500770683909606,0.0145504450942433,0.523581184512432,0.00397497755898309,0.533909779787064,0.0249941270840597,0.519,0,0.5259,0.00638487796803249,0.5217,0.0061110101001753,0.511702,0.011169300982803,0.5271,0.00448330235429198,0.5344,0.0142064148264867,0.05
"B-124",1,0.413107187150599,0.0293267783030344,0.517068763605124,0.00370365496296833,0.528617361187935,0.0237447440788539,0.506,0,0.4784,0.00729078566106255,0.4937,0.00883238988672439,0.464977,0.00723148832076312,0.4779,0.00550656174234179,0.4801,0.00833266663999787,0.05
"B-125",0,0.370688274733265,0.0199797960317392,0.524034697703822,0.00382271476328107,0.540023195743561,0.0181771112297974,0.449,0,0.4128,0.0133898800924015,0.4387,0.0117194046113463,0.434735,0.00838550104512413,0.4156,0.0076040924653914,0.4864,0.0170045745479137,0.05
"B-126",1,0.513436672130003,0.0198329206941213,0.522915455788042,0.0027046261734137,0.51525699198246,0.0227905939318024,0.516,0,0.5006,0.00756012933457859,0.5103,0.00975306219718824,0.502316,0.0124326569967968,0.5039,0.00706242010770939,0.4974,0.0108954628681443,0.05
"B-13",0,0.472448849009584,0.0176843635023429,0.5225415119678,0.00418107103446113,0.504305005073547,0.0162698420036638,0.468,0,0.5051,0.010082437976777,0.4938,0.0119796123105513,0.490869,0.00958981340335207,0.5014,0.00377712412645742,0.5353,0.0142754645769897,0.05
"B-131",1,0.511382172941641,0.0165479038991226,0.524442371906037,0.00541131844465494,0.524912938475609,0.0316723510894431,0.493,0,0.5064,0.00627517153373339,0.4971,0.00887505868525199,0.49872,0.00935074328596395,0.5062,0.00413118223595458,0.5146,0.0126508673396113,0.05
"B-132",0,0.513517547412238,0.027656403767134,0.519711351763135,0.00501337494439093,0.51592570245266,0.0173097335930168,0.518,0,0.5252,0.00985224170768596,0.5225,0.00898455464796238,0.512065,0.00930026194374235,0.5282,0.00674619234169255,0.5121,0.0159892324880076,0.05
"B-133",1,0.482236843589728,0.0246437849968626,0.52027723631688,0.00321266641820437,0.506142455339432,0.0163050503900689,0.491,0,0.5186,0.00527467745196067,0.5197,0.0130558628805436,0.503293,0.0137896982885373,0.517,0.00498887651569859,0.5993,0.0112056533351102,0.05
"B-134",1,0.464501196025829,0.0231110593298042,0.522042607288811,0.00584333053626571,0.503965729475021,0.0272940542212322,0.475,0,0.4838,0.00769992784958983,0.4951,0.0113083056988117,0.490943,0.00647748588059697,0.4816,0.00469515116310907,0.4909,0.0186097346091292,0.05
"B-135",1,0.462773002057927,0.0194911479968001,0.522590871543896,0.00349195828706746,0.50655879676342,0.0226992047341053,0.453,0,0.4686,0.0057193628238739,0.4694,0.0095707888912043,0.465,0.0124941292880563,0.4668,0.00662989860824095,0.4613,0.0264661209011739,0.05
"B-136",1,0.470604240837125,0.0189336599578414,0.527129307218585,0.00385330607140864,0.541854739189148,0.0287420387081063,0.476,0,0.4775,0.00672061505121865,0.4924,0.0108852601663391,0.480009,0.0110156408498704,0.4764,0.00562138772902207,0.4347,0.0218074910676737,0.05
"B-137",0,0.525575416190311,0.0280779777348825,0.52139511364282,0.0027125151935963,0.467863175272942,0.0152962140952491,0.58,0,0.5665,0.00665415492589236,0.565,0.0127888840621672,0.546034,0.0102779842381665,0.5701,0.00710946161424648,0.5271,0.0304902534518091,0.05
"B-14",0,0.476875602837486,0.0337096661269347,0.521777157861416,0.0048269889655443,0.520738425850868,0.0277180498404487,0.489,0,0.5025,0.0107212146907169,0.4939,0.0105877287460531,0.490861,0.00802091633723285,0.5027,0.00516505351160836,0.5224,0.0140412091913608,0.05
"B-140",0,0.53174286141039,0.0213278564309582,0.520682573439964,0.00310078408054324,0.497624942660332,0.026318882230264,0.538,0,0.5443,0.00817924201867142,0.527,0.0120554275466834,0.518129,0.00653757251924937,0.5412,0.00463800723491363,0.4513,0.0174677480581277,0.05
"B-141",0,0.54660344404002,0.023851330183915,0.526935870758146,0.00328130102344328,0.530148488283157,0.0188697065922876,0.535,0,0.5543,0.00675030863491933,0.5387,0.00842021377400836,0.541319,0.0149730568763437,0.5524,0.00857904423581086,0.5279,0.0153944434419985,0.05
"B-142",1,0.608767393066076,0.0276247596506746,0.529425371134311,0.00517357636268218,0.556185805797577,0.0173658851580094,0.572,0,0.5702,0.00802496105909552,0.5743,0.0155995014165339,0.549362,0.0151800993994696,0.5736,0.00685079070862141,0.492,0.0169312334656004,0.05
"B-143",1,0.514595367860589,0.0163262448809344,0.524599774945429,0.00414922486993701,0.552651160955429,0.0224780763988129,0.51,0,0.5481,0.0104397743696351,0.5337,0.0122750876892093,0.524557,0.00724821211671464,0.5479,0.00414862761779256,0.5237,0.0165465672841496,0.05
"B-144",1,0.478387663168867,0.0244411758189239,0.518454393323278,0.00407440296921303,0.48024814426899,0.0401875535101448,0.482,0,0.4693,0.0118044247824468,0.4934,0.0107930018479054,0.473817,0.00709052427147982,0.4724,0.00736659125149932,0.4656,0.0156361404729201,0.05
"B-145",1,0.551927601678051,0.0223195140254929,0.532506151681058,0.00336675433331971,0.588480395078659,0.0187852578305501,0.568,0,0.5436,0.00560158707669334,0.5463,0.0100669977870488,0.524894,0.00698041737052067,0.5419,0.00712507309904023,0.6026,0.0186857045774452,0.05
"B-146",0,0.465534219708662,0.0164780301880836,0.52174168055598,0.00419238700561612,0.518751838803291,0.0223468912164543,0.429,0,0.4341,0.00693541635375989,0.4594,0.00587272414547874,0.44641,0.0122761783774738,0.4358,0.00695701085237044,0.3803,0.0162620895199712,0.05
"B-147",0,0.219142542867629,0.0508619609852471,0.478640907964219,0.00615489930847413,0.245674623548985,0.0270776109892977,0.355,0,0.2935,0.0297218587724404,0.2484,0.0232770750357991,0.29961,0.0178112760788091,0.3132,0.0172098163202801,0.3145,0.020172864061517,0.05
"B-148",0,0.462663512161367,0.0172186271861004,0.515156141155766,0.00361443041028703,0.505607828497887,0.0188166892583773,0.492,0,0.4903,0.00763107681348664,0.4805,0.0101461541701496,0.484854,0.00707894562142634,0.49,0.004371625682868,0.5032,0.0132144701831826,0.05
"B-15",0,0.512771332856408,0.0214373860818395,0.52536340226892,0.00419406398659347,0.515576815605164,0.0292550158205568,0.537,0,0.5163,0.00912931785208756,0.5064,0.013688600285558,0.498777,0.00940870879085495,0.5116,0.00488080139139284,0.58,0.0200720922897661,0.05
"B-150",0,0.456099647722846,0.0169787015875937,0.501095306841155,0.00372083994240696,0.313277342915535,0.0199891391155177,0.515,0,0.4972,0.00697296366132954,0.4677,0.0135486776722552,0.504194,0.0096980996993111,0.4991,0.00602679203409428,0.4511,0.0240944899187438,0.05
"B-151",1,0.501366838083109,0.0251614634636152,0.523515585517378,0.00471140943347791,0.509920856356621,0.0196141217571039,0.487,0,0.4925,0.00803118920210451,0.4966,0.00859198593005263,0.491069,0.00818533437856321,0.4962,0.00557374799095427,0.5163,0.0186848126086997,0.05
