"ID","Status","LR","LR_SD","RF","RF_SD","GB","GB_SD","GBLUP","GBLUP_SD","LASSO","LASSO_SD","RKHS","RKHS_SD","EGBLUP","EGBLUP_SD","BRR","BRR_SD","BayesB","BayesB_SD","MAF"
"B-1",1,0.584081411692675,0.0123410270976259,0.523158660758902,0.00409320647772208,0.560123980045319,0.0135252144879638,0.473,0,0.4772,0.00910189235513386,0.475,0.0106874796945876,0.481613,0.00642537340030393,0.4822,0.00569209978830309,0.5486,0.0134759044223384,0.05
"B-1000",0,0.0878089425921779,0.0111677587502991,0.462850399015374,0.00874629691541607,0.21498197466135,0.0127407356166637,0.339,0,0.3249,0.099830356104744,0.3213,0.0152756160086736,0.370982,0.0588117759938905,0.3584,0.0530601336012055,-0.2811,0.0658406325067499,0.05
"B-1002",0,0.501596922714114,0.0186526690699902,0.515147301294008,0.00412140514894403,0.484375190734863,0.0111875689808015,0.454,0,0.4613,0.00967298643990916,0.4702,0.00709929573971952,0.462172,0.00769325794301594,0.4599,0.00513051870888531,0.4323,0.0172694334977536,0.05
"B-1003",0,0.587726314588392,0.00942465186131426,0.532941433382447,0.00572943260725848,0.581985485553741,0.00503417372997494,0.463,0,0.5086,0.00928798507032967,0.5081,0.0115513346992169,0.500676,0.0101763245930062,0.5071,0.00357304725222977,0.6251,0.0144333718244291,0.05
"B-1005",0,0.298630609169075,0.0116919407014946,0.513283585532515,0.00394569012202072,0.30934841632843,0.00851144342579994,0.502,0,0.5045,0.00920446751432273,0.5175,0.0117968922461243,0.508593,0.00792310271715991,0.5084,0.00650128192487195,0.2343,0.012436952109652,0.05
"B-1006",1,0.604784597582444,0.00714986205466138,0.536126545004965,0.00384675132080403,0.600595271587372,0.00962662886391835,0.532,0,0.5147,0.00673382836464106,0.5166,0.016276772816911,0.508088,0.00825823602364466,0.5131,0.00420185144377518,0.5921,0.0147305427221433,0.05
"B-101",1,0.594897617129578,0.00691077583805442,0.530801863149677,0.00377874613948334,0.595493906736374,0.012039047970722,0.572,0,0.5654,0.00715231120376868,0.5734,0.0122038245371413,0.545288,0.0089975562114264,0.5654,0.00497102716861523,0.6888,0.0150244245591414,0.05
"B-1011",0,0.519586459488159,0.019386093961284,0.518437337029728,0.00326260601782446,0.498016196489334,0.0208367380482757,0.505,0,0.474,0.00748331477354787,0.4772,0.00944927980794774,0.474371,0.00827155964065357,0.4762,0.00458984386081559,0.5231,0.0210578568076937,0.05
"B-1012",1,0.529910892600024,0.0136329620704659,0.525066920637866,0.00394772327073372,0.54072722196579,0.0106820696069196,0.513,0,0.524,0.00727247474309048,0.5229,0.010514011814928,0.506542,0.00924819838310864,0.5219,0.00682234889495139,0.5009,0.0157370758260725,0.05
"B-1013",0,0.534286904920491,0.0152033701933411,0.525396671571174,0.00432433821484561,0.509018176794052,0.0148307059582042,0.432,0,0.4556,0.00537897140105182,0.4675,0.00907070988279183,0.464828,0.0137934362812334,0.4539,0.00314289321768618,0.4665,0.0121951720866178,0.05
"B-1015",0,0.246617351287868,0.015788366727463,0.474502180485913,0.0049716324330007,0.220683392882347,0.0126227581757695,0.431,0,0.3892,0.0131470317731587,0.3026,0.01905664072064,0.412893,0.0128381194971157,0.3892,0.0095545219079182,0.1437,0.0141031911282518,0.05
"B-1016",0,0.549439326168064,0.0133159962185082,0.501439511004871,0.00528342026384553,0.474279233813286,0.0149236018339476,0.474,0,0.4496,0.00782020175926144,0.3886,0.0195743596461176,0.463513,0.0134394031365484,0.4525,0.00760482303103323,0.5314,0.016283597746062,0.05
"B-1017",0,0.470999911742921,0.0196832242599238,0.486613736982503,0.00662302236757667,0.391398128867149,0.0189309980683329,0.451,0,0.4445,0.00735224833337093,0.4363,0.0136385890439998,0.462583,0.0144724059659907,0.4492,0.0079414524280302,0.4871,0.0128014756093889,0.05
"B-1019",0,0.606876615408138,0.00495357659717035,0.527160365291867,0.00599279448085367,0.565773397684097,0.0114627744332298,0.487,0,0.4887,0.0104567893946682,0.4991,0.0124494533570309,0.484498,0.00730268109060714,0.4836,0.00427395211328657,0.604,0.00684754619472472,0.05
"B-102",1,0.60060398195186,0.00571783287621726,0.529611322989842,0.00149369354975012,0.591373008489609,0.00412817536830089,0.432,0,0.426,0.00932142096940638,0.4524,0.0151084965058296,0.436769,0.0139428153143075,0.4248,0.00575036230742609,0.5337,0.0132249763704893,0.05
"B-1021",1,0.5817343949537,0.0122457677395295,0.518501308431297,0.00436428301205976,0.512564465403557,0.0200577386028707,0.468,0,0.4521,0.0114158758850218,0.4997,0.011776152927751,0.468719,0.00805922308083519,0.4596,0.00739669595908275,0.6123,0.0192933494586434,0.05
"B-103",0,0.282135853082905,0.0181472259619186,0.505964177687398,0.00422609745624195,0.306587707996368,0.017055316566457,0.54,0,0.5395,0.0110579282769323,0.5154,0.0112269516986778,0.518456,0.00656283509197393,0.5396,0.00414192655120242,0.1988,0.019825908974538,0.05
"B-104",1,0.588127599829028,0.00992307746248154,0.524181120793638,0.00433549966557367,0.574370837211609,0.0109718157852762,0.513,0,0.5361,0.00750481327031008,0.5301,0.0103327956849377,0.512665,0.0107706300754516,0.5356,0.00411501316320293,0.6355,0.00880971685760168,0.05
"B-105",1,0.600194520233523,0.00845532411677811,0.53087805748135,0.00595213838115686,0.569793003797531,0.0235913386952191,0.524,0,0.4724,0.0111474959819085,0.4921,0.0117231963786901,0.478573,0.0108244138152809,0.4744,0.00445221542855039,0.5467,0.0141974176055601,0.05
"B-106",0,0.12829946157865,0.0131113435984855,0.455528825538953,0.00685207235541419,0.231158538162708,0.0133453754852558,0.339,0,0.2615,0.0344327040923467,0.1559,0.024241607940802,0.295982,0.0127170321485269,0.2822,0.0163693480491911,-0.172,0.0213281243640619,0.05
"B-108",0,0.254536701653375,0.0125089400700526,0.500101635959005,0.00382809505100855,0.263681782782078,0.0124768915460854,0.503,0,0.4837,0.00666749994792318,0.4686,0.00938320011746761,0.485497,0.00681299583312821,0.4847,0.00326768691550733,0.1502,0.016982343772283,0.05
"B-109",0,0.604554233506404,0.00761800382749215,0.525724501795692,0.00439386412099585,0.591166520118713,0.0153420353029035,0.497,0,0.5086,0.0118902387603352,0.4953,0.0118794874562088,0.490518,0.0105025508012736,0.5037,0.00708754776585904,0.617,0.0112644968324772,0.05
"B-11",1,0.525256274168102,0.0159008235709218,0.528288012402178,0.00629338981315666,0.527812325954437,0.0206819874692495,0.512,0,0.5101,0.00690330033792212,0.507,0.0150037032465692,0.497901,0.0087601388243693,0.5114,0.00575808610178379,0.5418,0.0191299648602802,0.05
"B-111",1,0.602259728900848,0.0062097951120948,0.535050461591012,0.00172744731502667,0.597966796159744,0.0143119773930971,0.536,0,0.5475,0.00712195353974051,0.5377,0.014360826345769,0.522327,0.0133022504779371,0.5448,0.00559364719024081,0.655,0.0182147681230857,0.05
"B-112",1,0.331190777726642,0.0117415814606842,0.522262449376516,0.0039508227065787,0.360000076889992,0.00963813564630949,0.571,0,0.5451,0.00963154539348005,0.5525,0.0147667042888911,0.52711,0.0089022119598321,0.5426,0.00793305321634322,0.3084,0.00658618081878852,0.05
"B-113",1,0.527923547624404,0.0110757163245295,0.529270936475281,0.00345154196066607,0.507581523060799,0.0139512977145576,0.564,0,0.5612,0.0110835213016642,0.5591,0.00974622434016825,0.545466,0.00750104170543442,0.5615,0.00334165627596052,0.4838,0.0186952162627532,0.05
"B-114",1,0.525698893676063,0.0116330252367731,0.52495921678485,0.00326515762854729,0.525914019346237,0.010434636583324,0.533,0,0.5418,0.00612463150818979,0.5292,0.00987477144601896,0.525462,0.0100250550566512,0.5397,0.0043728963196287,0.5142,0.0175359947283042,0.05
"B-116",1,0.530520607180847,0.0248910004409348,0.51895023279051,0.00540674706944058,0.518500357866287,0.0206103014695494,0.534,0,0.5533,0.00577446486217071,0.5349,0.00602679203409428,0.530347,0.00535934293236276,0.5481,0.00602679203409428,0.5578,0.0191937489824161,0.05
